order_id,order_date,ship_date,ship_mode,product_name
CA-2016-152156,42682,42685,Second Class,Bush Somerset Collection Bookcase
CA-2016-152156,42682,42685,Second Class,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back"
CA-2016-138688,42533,42537,Second Class,Self-Adhesive Address Labels for Typewriters by Universal
US-2015-108966,42288,42295,Standard Class,Bretford CR4500 Series Slim Rectangular Table
US-2015-108966,42288,42295,Standard Class,Eldon Fold 'N Roll Cart System
CA-2014-115812,41799,41804,Standard Class,"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood"
CA-2014-115812,41799,41804,Standard Class,Newell 322
CA-2014-115812,41799,41804,Standard Class,Mitel 5320 IP Phone VoIP phone
CA-2014-115812,41799,41804,Standard Class,DXL Angle-View Binders with Locking Rings by Samsill
CA-2014-115812,41799,41804,Standard Class,Belkin F5C206VTEL 6 Outlet Surge
CA-2014-115812,41799,41804,Standard Class,Chromcraft Rectangular Conference Tables
CA-2014-115812,41799,41804,Standard Class,Konftel 250 Conference phone - Charcoal black
CA-2017-114412,42840,42845,Standard Class,Xerox 1967
CA-2016-161389,42709,42714,Standard Class,Fellowes PB200 Plastic Comb Binding Machine
US-2015-118983,42330,42334,Standard Class,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter"
US-2015-118983,42330,42334,Standard Class,Storex DuraTech Recycled Plastic Frosted Binders
CA-2014-105893,41954,41961,Standard Class,"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D"
CA-2014-167164,41772,41774,Second Class,Fellowes Super Stor/Drawer
CA-2014-143336,41878,41883,Second Class,Newell 341
CA-2014-143336,41878,41883,Second Class,Cisco SPA 501G IP Phone
CA-2014-143336,41878,41883,Second Class,"Wilson Jones Hanging View Binder, White, 1"""
CA-2016-137330,42713,42717,Standard Class,Newell 318
CA-2016-137330,42713,42717,Standard Class,"Acco Six-Outlet Power Strip, 4' Cord Length"
US-2017-156909,42932,42934,Second Class,"Global Deluxe Stacking Chair, Gray"
CA-2015-106320,42272,42277,Standard Class,Bretford CR4500 Series Slim Rectangular Table
CA-2016-121755,42385,42389,Second Class,Wilson Jones Active Use Binders
CA-2016-121755,42385,42389,Second Class,Imation 8GB Mini TravelDrive USB 2.0 Flash Drive
US-2015-150630,42264,42268,Standard Class,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish"
US-2015-150630,42264,42268,Standard Class,Avery Recycled Flexi-View Covers for Binding Systems
US-2015-150630,42264,42268,Standard Class,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock"
US-2015-150630,42264,42268,Standard Class,Poly String Tie Envelopes
US-2015-150630,42264,42268,Standard Class,"BOSTON Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain"
US-2015-150630,42264,42268,Standard Class,"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Executive Red"
US-2015-150630,42264,42268,Standard Class,Lumber Crayons
CA-2017-107727,43027,43031,Second Class,Easy-staple paper
CA-2016-117590,42712,42714,First Class,GE 30524EE4
CA-2016-117590,42712,42714,First Class,"Electrix Architect's Clamp-On Swing Arm Lamp, Black"
CA-2015-117415,42365,42369,Standard Class,"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes"
