product_id,sales,quantity,discount,profit
FUR-BO-10001798,"261,96",2,0,"41,9136"
FUR-CH-10000454,"731,94",3,0,"219,582"
OFF-LA-10000240,"14,62",2,0,"6,8714"
FUR-TA-10000577,"957,5775",5,"0,45","-383,031"
OFF-ST-10000760,"22,368",2,"0,2","2,5164"
FUR-FU-10001487,"48,86",7,0,"14,1694"
OFF-AR-10002833,"7,28",4,0,"1,9656"
TEC-PH-10002275,"907,152",6,"0,2","90,7152"
OFF-BI-10003910,"18,504",3,"0,2","5,7825"
OFF-AP-10002892,"114,9",5,0,"34,47"
FUR-TA-10001539,"1706,184",9,"0,2","85,3092"
TEC-PH-10002033,"911,424",4,"0,2","68,3568"
OFF-PA-10002365,"15,552",3,"0,2","5,4432"
OFF-BI-10003656,"407,976",3,"0,2","132,5922"
OFF-AP-10002311,"68,81",5,"0,8","-123,858"
OFF-BI-10000756,"2,544",3,"0,8","-3,816"
OFF-ST-10004186,"665,88",6,0,"13,3176"
OFF-ST-10000107,"55,5",2,0,"9,99"
OFF-AR-10003056,"8,56",2,0,"2,4824"
TEC-PH-10001949,"213,48",3,"0,2","16,011"
OFF-BI-10002215,"22,72",4,"0,2","7,384"
OFF-AR-10000246,"19,46",7,0,"5,0596"
OFF-AP-10001492,"60,34",7,0,"15,6884"
FUR-CH-10002774,"71,372",2,"0,3","-1,0196"
FUR-TA-10000577,"1044,63",3,0,"240,2649"
OFF-BI-10001634,"11,648",2,"0,2","4,2224"
TEC-AC-10003027,"90,57",3,0,"11,7741"
FUR-BO-10004834,"3083,43",7,"0,5","-1665,0522"
OFF-BI-10000474,"9,618",2,"0,7","-7,0532"
FUR-FU-10004848,"124,2",3,"0,2","15,525"
OFF-EN-10001509,"3,264",2,"0,2","1,1016"
OFF-AR-10004042,"86,304",6,"0,2","9,7092"
OFF-BI-10001525,"6,858",6,"0,7","-5,715"
OFF-AR-10001683,"15,76",2,"0,2","3,546"
OFF-PA-10000249,"29,472",3,"0,2","9,9468"
TEC-PH-10004977,"1097,544",7,"0,2","123,4737"
FUR-FU-10003664,"190,92",5,"0,6","-147,963"
OFF-EN-10002986,"113,328",9,"0,2","35,415"
FUR-BO-10002545,"532,3992",3,"0,32","-46,9764"
FUR-CH-10004218,"212,058",3,"0,3","-15,147"
TEC-PH-10000486,"371,168",4,"0,2","41,7564"
TEC-PH-10004093,"147,168",4,"0,2","16,5564"
OFF-ST-10003479,"77,88",2,0,"3,894"
OFF-ST-10003282,"95,616",2,"0,2","9,5616"
TEC-AC-10000171,"45,98",2,0,"19,7714"
OFF-BI-10003291,"17,46",2,0,"8,2062"
OFF-ST-10001713,"211,96",4,0,"8,4784"
TEC-AC-10002167,45,3,0,"4,95"
TEC-PH-10003988,"21,8",2,0,"6,104"
OFF-BI-10004410,"38,22",6,0,"17,9634"
OFF-LA-10002762,"75,18",6,0,"35,3346"
FUR-FU-10001706,"6,16",2,0,"2,9568"
FUR-CH-10003061,"89,99",1,0,"17,0981"
OFF-FA-10000304,"15,26",7,0,"6,2566"
TEC-PH-10002447,"1029,95",5,0,"298,6855"
OFF-ST-10000604,"208,56",6,0,"52,14"
OFF-PA-10001569,"32,4",5,0,"15,552"
FUR-CH-10003968,"319,41",5,"0,1","7,098"
OFF-PA-10000587,"14,56",2,0,"6,9888"
TEC-AC-10002167,30,2,0,"3,3"
OFF-BI-10001460,"48,48",4,"0,2","16,362"
OFF-AR-10001868,"1,68",1,0,"0,84"
TEC-AC-10004633,"13,98",2,0,"6,1512"
OFF-BI-10001078,"25,824",6,"0,2","9,3612"
OFF-PA-10003892,"146,73",3,0,"68,9631"
FUR-FU-10000397,"79,76",4,0,"22,3328"
FUR-CH-10001146,"213,115",5,"0,3","-15,2225"
OFF-AR-10002671,"1113,024",8,"0,2","111,3024"
TEC-PH-10002726,"167,968",4,"0,2","62,988"
OFF-PA-10000482,"75,88",2,0,"35,6636"
OFF-BI-10004654,"4,616",1,"0,2","1,731"
OFF-PA-10004675,"19,05",3,0,"8,763"
FUR-CH-10000513,"831,936",8,"0,2","-114,3912"
FUR-FU-10003708,"97,04",2,"0,2","1,213"
OFF-ST-10004123,"72,784",1,"0,2","-18,196"
OFF-BI-10004182,"1,248",3,"0,8","-1,9344"
FUR-FU-10000260,"9,708",3,"0,6","-5,8248"
OFF-ST-10000615,"27,24",3,"0,2","2,724"
FUR-FU-10003194,"19,3",5,"0,6","-14,475"
OFF-AP-10002118,"208,16",1,0,"56,2032"
OFF-BI-10002309,"16,74",3,0,"8,0352"
OFF-AR-10002053,"14,9",5,0,"4,172"
OFF-ST-10002370,"21,39",1,0,"6,2031"
OFF-EN-10000927,"200,984",7,"0,2","62,8075"
OFF-ST-10003656,"230,376",3,"0,2","-48,9549"
FUR-CH-10000863,"301,96",2,0,"33,2156"
TEC-AC-10001998,"19,99",1,0,"6,7966"
OFF-LA-10000134,"6,16",2,0,"2,9568"
OFF-ST-10003442,"158,368",7,"0,2","13,8572"
OFF-AR-10004930,"20,1",3,0,"6,633"
TEC-PH-10004093,"73,584",2,"0,2","8,2782"
OFF-PA-10000304,"6,48",1,0,"3,1104"
OFF-PA-10003177,"12,96",2,0,"6,2208"
FUR-FU-10003799,"53,34",3,0,"16,5354"
OFF-BI-10002852,"32,96",2,0,"16,1504"
OFF-BI-10004738,"5,682",1,"0,7","-3,788"
FUR-FU-10000629,"96,53",7,0,"40,5426"
OFF-BI-10001721,"51,312",3,"0,2","17,9592"
OFF-AP-10000358,"77,88",6,0,"22,5852"
OFF-PA-10003256,"64,624",7,"0,2","22,6184"
TEC-AC-10001767,"95,976",3,"0,2","-10,7973"
OFF-BI-10002609,"1,788",3,"0,8","-3,0396"
OFF-PA-10004040,"23,92",4,0,"11,7208"
TEC-AC-10001552,"238,896",6,"0,2","-26,8758"
FUR-FU-10004006,"102,36",3,"0,2","-3,8385"
